id_,adress,price,district,num_rum,area,num_floor1,num_floor2,add_inform,metro,GK
222,"Золотоустiвська , 24а",1173,Шевченковский,2,80,4,9,"
Дополнительно : 
ЖК EINSTEIN Concept House,  просторная двухкомнатная квартира в клубном доме с круглосуточной охраной и видеонаблюдением. Квартира двухсторонняя,  укомплектована всем необходимым:три TV на 49 и 55 дюймов,  кондиционер в каждой комнате,  ванная с душевой кабиной и ванной,  бойлер на 80 литров стиральная машина Samsung,  под плиткой тёплый пол. Две отдельных спальни с большим встроенными шкафами,  диван раскладной. Большой балкон-терраса с видом во двор. Имеется всё необходимое для комфортной жизни. Клубный дом на 28 квартир,  карточная система доступа,  парковка возле дома,  до Площади победы 400 метров. Возможна аренда с детьми и животными некрупных пород. Цена аренды 1000 евро/месяц + коммуналка. Торг. Без комиссии
  ",2,1
223,"Вербицького Архiтектора , 28",106,Дарницкий,0.5,79,3,9,"
Дополнительно : 
Сдам комнату, ул.Вербицкого, метро Вырлица, в комнате кровать, стол письменный, шкаф, в общем пользовании, стиральная машина, холодильник, кухня и сан.узел, в квартире проживает, девушка(квартирантка) и хозяин, хороший, 3000 грн и0993260055, 0971286750. Комиссия: 50%
  ",2,0
224,Правди пр-т,352,Подольский,2,70,21,23,"
Дополнительно : 
Сдам 2к Виноградарь,  Правды пр.31А,  21/23эт,  70/45/15,  новый дом,  комнаты раздельные,  санузел раздельный,  большой холл,  квартира с капитальным ремонтом,  мебель: шкафы-купе,  два дивана,  двухспальная кровать с ортопедическим матрасом,  встроенная кухня.Бытовая техника: холодильник,  стиральная машинка-автомат,  бойлер.Отличное месторасположение.Рядом школа,  садик,  супермаркеты,  остановки. Цена 10000грн к.у.
  ",3,0
225,Корольова Академiка вул.,169,Святошинский,1,25,2,5,"
Дополнительно : 
Сдам 1 квартиру Борщаговка ул.Королева 10в,  2/9эт,  гостинка. 25кв.м,  без балкона,  чистая,  уютная,  меблирована:шкаф,  диван,  комод,    бытовая техника:холодильник,  стиральная машинка.Отличное месторасположение,  хорошая транспортная развязка. (Мебель обговаривается,  не нужную уберут) Цена 4800грн к.у.Риэлторские услуги 50%
  ",3,0
226,"Науки пр-т, 80",1250,Голосеевский,4,165,22,23,"
Дополнительно : 
БЕЗ КОМИССИИ!!
Предлагаю в долгосрочную аренду шикарные двухуровневые апартаменты.
Идеальная альтернатива частному дому.
Сделан дорогой ремонт!!

Голосеевский район. Проспект Науки 80. 22-23/23 эт.
Дом 2011 года постройки.

Со всех окон открывается великолепный вид на заливы реки Днепр.
Квартира очень светлая и теплая. Во всех комнатах кондиционеры. 

Полная комплектация дорогой мебелью и техникой!!!
Квартира состоит из двух уровней!!

   Первый уровень:

 - Кухня с обеденной зоной
 - Большая гостиная с панорамными окнами
 - Полноценный санузел
 - Гардероб

   Второй уровень:

 - Три полноценные спальни с большими кроватями и шкафами
 - Полноценный санузел
 - Кладовая для бытовых вещей
 Полная комплектация мебелью и техникой!!
До центра города 10 минут.
Рядом есть магазины,  аптеки,  школы,  детские сады и тд.
  ",3,0
227,"Кольцова бул., 14Д",459,Святошинский,1,60,4,15,"
Дополнительно : 
Сдается еврооднушка 60 кв.м.4/15 эт.кирпич.дома.Квартира-супер.Новая и современная мебель и техника.ЖК Парковый, бул.Кольцова 14-Д.Окна смотрят на тихую улицу.Все готово для быстрого заезда, свободна.Отличная инфраструктура, транспортная развязка.Рядом парки, во дворе детские площадки.В комплексе на выбор фитнес-клубы.До метро 15 мин.трамваем.маршруткой или 5 мин. машиной.Счетчики на воду, электричество и отопление.Квартира внутренняя и теплая, экономная по комунальным услугам.Консьерж. Комиссия: 50%
  ",3,1
228,"Свiтла вул., 3д",352,Дарницкий,1,41,10,20,"
Дополнительно : 
Сдаю 1 комнатную квартиру метро Бориспольская. Ул. Светлая 3д. Первая сдача, видовая. 41/19/10.Есть бойлер,  стиралка,  счетчики на отопление. Первая сдача. Берут всех. Можно иностранцев. Цена 10000гр. к.ус.Комиссия 50%
  ",2,0
229,"Гулака Миколи , 4",598,Оболонский,2,67,5,25,"
Дополнительно : 
Здається 2 кімнатна квартира в новому заселеному будинку. Загальна площа складає 67 кв.м. Поверх 5/25. Дизайнерський ремонт,  перша здача. Квартира облаштована всім для комфортного проживання. Вбудована побутова техніка (холодильник,  мікрохвильова піч,  посудомийна машина,  телевізор,  пральна машина,  бойлер,  кондиціонер). Кухня-столова з виходом на засклену лоджію,  спальня (ліжко з ортопедичним матрасом) вітальня (розкладний диван високої якості). Два санвузли. Індивідуальне загальнобудинкове опалення (лічільник на тепло),  підігрів підлоги,  кондиціонери. Розвинута інфраструктура: супермаркети,  аптека,  школи,  садочки. Поруч ліс і озеро. Зручна транспортна розвязка,  до станції метро Мінська  10 хвилин громадським транспортом.
  ",3,1
230,"Саксаганського , 68/21",999,Голосеевский,4,150,5,6,"
Дополнительно : 
Первая сдача! Голосеево Центр,  ул.Саксаганскго, 68/21.  4-к квартира в добротном царском доме с лифтом! 150м,  5/6эт.Кирп.д.,  высота потолков 3, 6м.,  ремонт выполнен в классическом стиле с использованием натуральных материалов. 3 спальни,  кабинет,  2с/у,  двор внутренний с парковкой.  Мансардный высокий этаж. Никогда не сдавалась в аренду. Вам понравится энергетика и легкая атмосфера квартиры. Установлено индивидуальное отопление,  низкая стоимость коммунальных. Показываю в любое удобное для Вас время. Комиссия: 50%
  ",3,0
231,"Глушкова Академiка пр-т, 67",334,Голосеевский,1,40,25,25,"
Дополнительно : 
Первая сдача! Аренда комфортной  одно-комнатной  квартиры в новом доме ЖК Одесский бульвар,  ул. Пригородная 24,  40/20/12 кв.м на 25/25 эт.,  балкон не застеклен,  сан.узел совмещённый,  в котором есть ванная и душ,   металло-пластиковые окна,  на кухне пол с подогревом. В наличии вся необходимая мебель(в комнате новая двух-спальная кровать,  на кухне полноценный раскладной диван) и техника( стиральная машина,  бойлер,  холодильник,  варочная поверхность,  духовка).Рядом находятся: ТРЦ,  магазины,  рынок,  остановки транспорта,  аптеки и др. До метро Теремки  5 минут на маршрутке или 20 мин пешком,  9500 грн.+ком. услуги! Фото реальные! Арендуйте сейчас,  наилучшее предложение! С уважением,  Ольга.
  ",2,1
232,"Огуречна , 36",106,Подольский,0.5,100,1,4,"
Дополнительно : 
Место в современном общежитии. Двух- трехместные комнаты. Без коммунальных платежей,  без платежа за последний месяц,  без комиссионных. 3000 грн. за место в трехместном номере и 3500 грн. в двухместном. Остановка общественного транспорта 50 м.,  Метро Нивки 15 мин. 
Видео на YouTube:
https://youtu.be/kGNClMDStgs
Сайт:
https://www.fullhouse-company.com/
+380969135210
  ",3,0
233,"Демiївська , 18",633,Голосеевский,1,50,20,21,"
Дополнительно : 
Срочно сдам дизайнерскую 1-комнатную ЖК Демеевка,  ул. Демеевская,  18,  Голосеевский р-н. 50 кв.м.,  20/20 эт. Авторский ремонт в стиле Лофт. Вся новая качественная мебель и техника,  кровать с ортопедическим матрасом,  гардеробная,  диван,  шкаф-купе,  кондиционеры,  смарт ТВ,  WiFi,  духовка,  СВЧ,  посудомоечная и стиральная машины,  ванна,  бойлер,  теплосчетчик,  закрытая территория,  подземный паркинг. Рядом парк,  озеро,  м. Демеевская,  множество магазинов,  кафе и мест для досуга. 17999 грн. При подписании договора комиссия агентства 50%. 

Большая база объектов по Киеву. Звоните,  организуем просмотр в удобное для Вас время! Агентство недвижимости приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду объектов в Киеве и Киевской обл. Николай 0669761815,  0935828901 Комиссия: 50%
  ",2,1
234,"Амурська пров., 11",563,Голосеевский,4,77,25,25,"
Дополнительно : 
Квартира под офис. Жилой фонд офисное помещение 25/25 после ремонта 77 кв. переулок Ясинуватский 11 заезд с проспекта Лобановского 115 . Три раздельные кабинета и комната для рецепции ,  две застекленные лоджии . Новый ремонт. Окна выходят на ТРЦ Ocean Plaza ,  метро Демеевка 15 минут ходьбы. На прямую от собственника. Счетчик отопления.
  ",2,0
235,"Краснова Миколи , 17",369,Святошинский,1,45,12,17,"
Дополнительно : 
Сдам 1- к квартиру, Евроремонт Новый Дом м. Житомирская ул. Н. Краснова
Общая Площадь 45м2.
Есть Вся Мебель и Бытовая Техника!
Видеонаблюдение,  Ванна,  Консъерж,  Лифт,  Мебель на кухне,  Охраняемая территория,  Грузовой лифт
Счотчики на Все.
К м.Житомирская 5 минут пешком.
Отлично Развитая Инфраструктура!
Отделение банка,  банкомат,  Аптека,  Метро,  Парк,  зелёная зона,  Отделение почты,  Магазин,  киоск,  Супермаркет,  ТРЦ,  Остановка транспорта
Рядом Наземный транспорт!
Квартира Свободна.
Возможен Торг!
  ",2,0
236,Йорданська ,1020,Оболонский,3,75,11,11,"
Дополнительно : 
Первая сдача !!! Ул. Иорданская 11Д. Срочно ! Взможен торг. 
3х комнатная квартира в 5 минутах от метро Оболонь,  школа и садик во дворе,  рядом магазины,  тц. Улица Иорданская 11д.

Квартира подходит как для работы (3 рабочих места) так и для семьи.

1 комната: раскладной двухспальный диван,  стол,  полки и выход на балкон где ещё одно рабочее место.

2 комната: спортзал,  есть шведская стенка,  рабочее место (большой рабочий стол)

3 комната: Спальня. Двухспальная кровать,  комод,  под кроватью много места для вещей.

4 комната-коридор: во всю стену шкаф-купе. Такой же стоит в прихожей. Места для вещей очень много.

Кухня: Барная стойка,  микроволновка,  холодильник,  индукционная плита.

Туалет и ванная в отличном состоянии,  установлен бойлер.

Квартира чистая,  уютная,  рядом озеро,  парковка,  красивый вид из окна. Два кондиционера. Можно с детьми ,  с животными.    Аренда 29000 грн + коммунальные ,  без комиссионных для арендатора.
  ",2,0
237,"Харкiвське шосе, 19б",387,Днепровский,1,47,15,25,"
Дополнительно : 
Сдается в аренду однокомнатная квартира,  ЖК Мегасити,  Харьковское шоссе,  19б,  станция метро Осокорки,  Черниговская. В квартире есть все необходимое для комфортного проживания (большая кровать,  бытовая техника,  гардеробная,  холодильник,  кондиционер,  бойлер,  телевизор).

 гардеробная
 счётчики на отопление,  воду,  электроэнергию
 наличие стиральной машинки,  пылесоса,  Wi-fi,  микроволновая печь Samsung,  холодильник Samsung,  электрическая плита
 большой шкаф купе
 рядом супермаркет Novus,  банк,  почты,  спортзалы
 в парадном установлено видеонаблюдение
 в пешей доступности озеро
 очень развитая инфраструктура

Квартира сдается при помощи агентства недвижимости. Комиссия за услуги составляет 50% от стоимости первого месяца проживания. Комиссия: 50%
  ",3,1
238,"Героїв Днiпра , 22",352,Оболонский,2,52,5,12,"
Дополнительно : 
Аренда 2к квартиры на ул. Г. Днепра 22 
Квартира 52 кв.м,  5/12 эт дома,  2 лифта,  домофон,  состояние квартиры жилое.
Есть необходимая мебель и техника. Есть бойлер и кондиционер. 
Хорошая инфраструктура. Метро Г. Днепра  3 мин пешком. Рынок,  супермаркеты.
10000 грн +ком.услуги. Агентство
  ",2,0
239,"Миколайчука Iвана , 6",106,Днепровский,0.5,52,6,9,"
Дополнительно : 
Днепровский р-н.
Аренда комнаты в 2-х комнатной квартире,  ул. Сирафимовича,  6/9,  с/у.  разд.,  комната 18 кв.м. есть балкон,  шкаф,  диван,  телевизор,  рядом рынок,  озеро,  к метро 15 минут транспортом. В другой комнате проживает хозяйка женщина. Для 1 девушки.
Цена 3000 грн. + сч. Комиссия 50 %. Комиссия: 50%
  ",3,0
240,"Максимовича Михайла , 7",563,Голосеевский,2,68,13,16,"
Дополнительно : 
2 комн. Ст. Метро Васильковская,  Максимовича улица,  7-А.  13/16 эт. дома,  68/32/14,  евроремонт,  стеклопакеты,  кондиционеры,  2 ТВ,  бытовая техника,  мебель,  встроенная кухня,  посудомойка,  подогрев пола: коридор,  кухня,  балкон,  с/у разд.,  бойлер,  большая лоджия,  счетчики на воду и отопление,  охрана,  паркинг. Рядом: NOVUS,  VARUS,  развлекательные заведения,  спортивно-оздоровительный центр,  2 парка,  спорткомплекс и т.д.,  до Метро пешком 10 минут.  Долгосрочно,  аккуратным людям без животных. Стоимость 16000 грн. + коммунальные. Комиссия 50%. Комиссия: 50%
  ",2,0
241,"Рибальська , 11",369,Печерский,2,45,5,5,"
Дополнительно : 
Сдам 2к. квартиру,  ул. Рыбальская,  м. Печерская,  Кловская,  Арсенальная.
Косметический ремонт,  гарнитурная кухня,  комнаты смежные,  необходимая мебель,  диван,  кровать,  шкаф,  комплект бытовой техники,  бойлер,  холодильник,   стиральная машина,  балкон застеклен,  санузел раздельный,  домофон. 
Цена 10500грн.
  ",2,0
242,"Данченка Сергiя , 28",598,Подольский,3,85,10,16,"
Дополнительно : 
Предлагается в аренду уютная,  просторная трёхкомнатная квартира в ЖК Новомостицко-Замковецкий. 
В квартире новый ремонт,  первая сдача,  жил короткое время один собственник. Полностью укомплектована мебелью и техникой: стиральная машинка,  бойлер,  кондиционер и прочим необходимым. 
Все комнаты раздельные,  2 санузла. В двух комнатах удобная кровать и диван,  одна комната может быть использована под гардеробную,  кабинет или детскую. 
Балкон оборудован под зону отдыха.
В комплексе подземный паркинг,  много магазинов,  кафе,  детские площадки. 
В квартире приятная атмосфера,  приходите и сами ощутите! 
Реальный объект,  эксклюзив.
Комиссия 50% Комиссия: 50% Дополнительные контакты: 0957017270.
  ",3,1
243,"Iрпiнська , 69а",774,Святошинский,3,120,15,22,"
Дополнительно : 
ТРЕШКА С ДВУМЯ СПАЛЬНЯМИ !!!
Долгосрочная аренда современной квартиры в кирпичном доме возле метро Академгородок.
Кухня -студио 35м2 ,  укомплектована бытовой техникой,  белый угловой кожаный диван,  ТВ плазма.
Холодильник,  духовка,  посудомоечная машинаю
Спальня с удобной двуспальной кроватью.
Во второй комнате двуспальная кровать,  встроенный шкаф остальное комплектуется под клиента.
Есть большая гардеробная.
В прихожей большой зеркальный шкаф-купе.
Два застекленных балкона.
Два полноценных санузла: в одном - ванная,  в другом - душевая кабина. Установлен бойлер.
СЧЕТЧИК ТЕПЛА НА КВАРТИРУ.
18 тыс грн в месяц + коммунальные
Комиссия 50%
  ",3,0
244,"Першого Травня , 3",1000,Шевченковский,3,120,5,5,"
Дополнительно : 
Квартира дворівнева в центрі Києва біля Ботанічного саду в тихому місці з приємними краєвидами. Гарна транспортна розвязка біля метро. Дві 
великі спальні,  маленька кімната ( або кабінет,  або для дітей),   загальний простір з каміном для відпочинку,  два великих сан вузли (в одному душ в іншому ванна),  величезна кухня,  балкон. Комиссия: 50%
  ",2,0
245,"Милославська , 23В",246,Деснянский,2,55,8,16,"
Дополнительно : 
Деснянский р-н,  Милославская ул. 23В,  8/16- эт.,  55/31/8, 5 кв.м.,  2 лоджии из кухни и комнаты застеклены,  жилое аккуратное состояние,   после косметического ремонта,  новая техника: холодильник,  плита,  стиральная машина,   новые ортопедические матрасы и ламели,  новая сантехника ( смесители,  унитаз),  укомплектована всей необходимой мебелью и техникой,  стеклопакеты,  с/у разд.,  счетчики,  консьерж,  отличное месторасположение,  развитая инфраструктура рядом супермаркет,  аптека,  остановки общественного транспорта,  школа,  дет. сады,  парковка во дворе,  первая сдача 7000 грн./месяц + коммунальные расходы.
067-913-48-28,  066-614-87-14 Комиссия: 50%
  ",3,0
246,"Данченка Сергiя , 34",352,Подольский,1,36,6,17,"
Дополнительно : 
Сдается1ком.квартира ЖК ""Новомостицкий-Замковецкий"", ул.Сергея Данченко34 , 6/17эт.дома. Квартира с хорошим новым ремонтом. Укомплектована всей необходимой мебелью и техникой. В комнате двух спальная кровать и диван,  встроенный шкаф-купе. Установлены все счетчики. В 2021 году в пешей доступности будет станция метро Мостицкая. Ближайшие станции метро Оболонь,  Минская,  Дорогожичи,  Петровка - 15 минут транспортом.. Есть подземный паркинг,  гостевая парковка,  собственная служба эксплуатации,  домофон. Цена 10000грн+к.у.0958468561, 0973206552 Ирина Комиссия: 50% Дополнительные контакты: 0973206552.
  ",3,1
247,"Ревуцького , 27",141,Дарницкий,0.5,72,1,9,"
Дополнительно : 
Сдам комнату, без проживания хозяев,  возле метро Позняки, под ключ, без хозяев.В квартире, 3комнаты меблированные с бытовой техникой, а именно угловой диван, кресло, шкаф, комод.Заселение на различный срок, можно на месяц, 2, 3 ит.д.За месяц , для 1го  чел.4500 грн+ком.услуги.0993260055, 0971286750 Тина, вышлю видио комнаты на вайбер
  ",3,0
248,Терещенка Миколи ,331,Святошинский,3,65,1,3,"
Дополнительно : 
Сдам 3-комнатную комфортную квартиру в частном доме ,  ул Терещенко
-большая кухня-гостиная ,  
-две отдельные комнаты , 
-сан узел с душевой кабиной, 
-местечко во дворе для завтраков и ужинов,  а иногда и шашлыка, 
-тёплые полы, 
-фото соответствуют нынешнему состоянию, 

Дом в частном секторе,  
Удобное расположение : 
-скоростной трамвай за 10 мин довезет до м Вокзальная.
-ТЦ Квадрат находится в 10 мин . 

Ждём встречи на просмотре ,  
Цена 9000 грн+ком . услуги 
При подписании договора комиссия Ан 50 % и залоговая сумма Комиссия: 50%
  ",3,0
249,"Правди пр-т, 31а",352,Подольский,2,75,15,25,"
Дополнительно : 
Сдам 2к Виноградарь,  Правды пр.31А,  15/23эт,  70/45/15,  новый дом,  комнаты раздельные,  санузел раздельный,  большой холл,  квартира с капитальным ремонтом,  мебель: шкафы-купе,  два дивана,  двухспальная кровать с ортопедическим матрасом,  встроенная кухня.Бытовая техника: холодильник,  стиральная машинка-автомат,  бойлер.Отличное месторасположение.Рядом школа,  садик,  супермаркеты,  остановки. Цена 10000грн к.у.
  ",3,0
250,"Гарматна , 38а",651,Соломенский,2,80,11,15,"
Дополнительно : 
Предлагается в долгосрочную аренду 2-к квартира. Комнаты раздельные,  современная мебель,  встроенная кухня,  бытовая техника,  шкафы,  кондиционеры,  бойлер,  с/узел раздельный. цена 18500
  ",3,0
251,"Урлiвська , 11а",457,Дарницкий,2,62,12,25,"
Дополнительно : 
Евродвухкомнатная квартира только на длительный срок,  в новом доме на ул. Урловская 11а. Квартира с качественным ремонтом,  полностью укомплектована  мебелью и техникой BOSCH ( два телевизора,  кондиционер,  интернет,  холодильник,  духовой шкаф,  плита,  микроволновая печь,  электрочайник,  пылесос,  утюг,  домофон),  большая кровать с ортопедическим матрасом и раскладной диван. Счётчики на воду,  отопление и электричество. Квартира расположена в одном из лучших районов Киева. Во дворе есть детская площадка и паркинг. Так же в доме есть магазины,  отделение банка,  аптека,  кафе и рестораны. Рядом с домом детский садик,  школа,  супермаркет NOVUS и самый большой на левом берегу ТРЦ ""River mall"". Удобная транспортная развязка,  остановка около дома,  до метро Осокорки 10 мин пешком. Комиссия: 50% Дополнительные контакты: 0665751854.
  ",3,0
252,"Борщагiвська , 206",422,Соломенский,1,50,12,25,"
Дополнительно : 
Борщаговская 206. Новый дом. Индустриальный мост. Метро Шулявская 10 мин. 12/26к,  50/24/12. Евроремонт,  мебель,  техника. Кухня-гостиная и спальня. Совмещенный санузел,  гардероб,  счетчики на все!. Бойлр,  кондиционер. Цена - 12 000 грн За месяц Просмотреть видео на YouTube: https://www.youtube.com/watch?v=Ekz6CLy2gkA Комиссия: 50%
  ",2,0
253,"Олевська , 9",281,Святошинский,1,42,10,16,"
Дополнительно : 
Сдам Однокомнатную квартиру : НОВОБЕЛИЧИ. Улица Олевская, 7 ,  10/16 .дома,  42/18/10 м2.
В квартире произведён качественный,  хороший ремонт .
Вся необходимая мебель и бытовая техника.
Светлая,  теплая,  уютная квартира с небольшими коммунальными.
В комнате паркетная двухспальная кровать,  письменный стол,  телевизор. Шкаф. Кондиционер ,  .
Кухня: встроенная . Холодильник . Вытяжка. Плита. -Стол со стульями
Санузел совмещенный,  стиральная машина ,  бойлер на 50л,  полотенцесушитель. Плитка.
В прихожей шкаф - купе.
Лоджия застеклена
Счетчики на воду,  отопление общее по дому.
Три лифта,  два пассажирских и грузовой.
Рядом круглосуточный АТБ. Салон красоты,  стоматология,  бар,  кафе,  аптека,  детский сад,  сосновый лес,  есть зона с детской площадкой и тренажёрами. Удобная развязка,  остановка под домом,  метро ""Академгородок"" 5-7 минут общественным транспортом или до 20 минут пешком. ТРЦ ""Лавина"" в 10 минутах
Агенство.
ЦЕНА: 8000 грн + коммунальные + залоговая сумма.
Тел: +380973378514 Сергей, +380502086177,  Просмотреть видео на YouTube: https://www.youtube.com/watch?v=ZhI_4UWx6Dw Комиссия: 50% Дополнительные контакты: 0962973187,  0502086177.
  ",2,1
254,"Дяченка Iвана , 6",281,Дарницкий,1,40,1,5,"
Дополнительно : 
Предлагаю в аренду однокомнатную квартиру в Киеве, Микрорайон Бортничи, улица Дяченко 6.
Квартира после ремонта
Вся бытовая техника
Двухспальная кровать с ортопедическим матрасом
Окна выходят на дорогу, шума двери не слышно
Рядом продуктовые магазины, садик, школа, лес, озёра.
От метро Бориспольская 5минут на машине.
8 тыс грн + 50% комиссия АН Комиссия: 50%
  ",2,0
255,"Пушкiнська , 5",1173,Шевченковский,2,68,4,4,"
Дополнительно : 
Аренда 2-х комнатной квартиры на Пушкинской,  5. Престижный дом 1917года,  в центре столицы
200м до метро Театральная,  Крещатик 500м.
4 этаж 4 этажного дореволюц.дома (кирпич).
2 комнаты по 25 кв.м
Кухня 9 кв.м
Гардеробная
Открытый чудо балкончик с видом на Пушкинскую
потолки - 2.80м
стоимость 1000 евро + коммунальные. (торг). Без комиссии
Если нужно что-то докупить - все решаемо
  ",1,0
256,"Глушкова Академiка пр-т, 9В",528,Голосеевский,1,57,21,24,"
Дополнительно : 
Сдается 1 ком.квартира ст.м. Иподром , ст.м.ВДНХ,  пр-т Глушкова 9В,  21/24эт.кирп.дома, Общ.57 кв.м. Большая кухня-гостиная  и отдельная спальня.Квартира после нового капитального ремонта.Полностью меблированна.Есть вся техника:кондиционеры, бойлер, посудомойка, духовка, холодильник, телевизор, 2-х спальная кровать.Счетчики на все.ПЕРВАЯ СДАЧА.Красивый вид из окна.Пешим ходом метро Иподром или ВДНХ.Цена 15000грн/мес+к.у. 0679045555,  0958468561, 0973206552 Ирина. Комиссия: 50% Дополнительные контакты: 0973206552.
  ",2,0
257,"Кондратюка Юрiя , 5",598,Оболонский,3,109,18,25,"
Дополнительно : 
Долгосрочная аренда,  желательно без наличия животных
Дом бизнес класса Кондратюка 5
БЕЗ КОМИССИИ,  3х комнатная квартира 18 этаж,  видовая на лес и жилой массив,  общая площадь 109 кв. 2 большие лоджии застеклены на стенах покраска,  пол плитка под мрамор; 2 комнаты 21 кв.м;1-12 кв меблированы на полу ламинат; коридор 17 кв пол плитка ;кухня 16 кв пол плитка; 2 санузла (1 душевая,  бойлер и сантехника; вторая ванна, стиральная машина и сантехника) .есть кондиционер, сушка потолочная,  наличие шкафов-купе,  телевизора. кухня полностью меблированная наличие поверхности,  духовки,  вытяжной , микроволны .интернет, телевиденье,  консерж, охраняемая территория стоянка для машины,  рядом остановка,  школа садик. Есть льготы по коммунальным платежам
Показы в любое время. Состав - три парня - не рассматриваем (извините)
  ",3,0
258,"Антоновича , 44",2700,Голосеевский,3,88,14,24,"
Дополнительно : 
ПОТРЯСАЮЩАЯ ВИДОВАЯ КВАРТИРА! 3х-комнатная (88 кв. м.) в Chicago Central House на улице Антоновича 44. Квартира с дизайнерским ремонтом из дорогостоящих материалов. Установлена вся необходимая мебель и техника от ведущих производителей. Из окон открывается замечательный вид на Олимпийский стадион и Конституционный Суд. В квартире очень удобная планировка: кухня-гостиная,  2 спальни,  2 санузла (ванна/душевая),  гардеробная.
Жилой комплекс ""Chicago Central House"" расположен на закрытой территории с круглосуточной охраной и видеонаблюдением. В доме презентабельный холл и консьерж. В пешей доступности метро: ""Олимпийская"",  ""Палац спорта"". ПЕРВАЯ СДАЧА!
050 1020 197 Комиссия: 50%
  ",1,1
259,"Бориспiльська вул., 12",55,Дарницкий,0.5,20,1,1,,2,0
260,"Харкiвське шосе, 11 а",70,Дарницкий,0.5,20,1,1,"
Дополнительно : 
Сдам супер койко-место от хозяина на Харьковском шоссе 11 А. в Дарницком р-не Киева. Отличные условия проживания по 2-4-6 человек в комнате. Все удобства - интернет , ТВ , стиральная машина,  бойлер,  кухня. Хорошая транспортная развязка. Лучшие предложения в городе!!! Цена 2500 гривен в месяц. Неделя – 700 гривен за двухместный номер.2000 гривен в месяц и 600 гривен в неделю за четырёхместный номер. 1800 гривен в месяц и 500 в неделю за шестиместный номер. Ближайшее метро. ЧЕРНИГОВКАЯ. ВСЕ районы КИЕВА возле ст-й МЕТРО
  ",3,0
261,"Хмельницького Богдана вул., 36 Б",56,Шевченковский,0.5,20,1,1,,2,0
262,"Кирилiвська вул., 126",60,Подольский,0.5,20,1,1,"
Дополнительно : 
Сдам койко-место от хозяина в Подольском районе Киева ул. Кирилловская 126. Куренёвка. Отличные условия проживания Расселение по 2 человек в комнате. 3000 гр. Расселения по 6 человек в комнате 1700 гр. Все удобства - интернет , ТВ , стиральная машина,  бойлер,  кухня. Хорошая транспортная развязка.. Лучшие предложения в городе!!! ВСЕ районы КИЕВА возле ст-й МЕТРО
  ",3,0
263,Садова вул.,106,Дарницкий,0.5,20,1,1,,3,0
264,"Iзюмська вул., 6",70,Голосеевский,0.5,20,1,1,,3,0
265,"Володимирська вул., 90",70,Шевченковский,0.5,20,1,2,,2,0
266,"Волго-Донський пров., 12",54,Дарницкий,0.5,20,1,2,"
Дополнительно : 
Жилье от хозяина для иногородних. м.Красный хутор,  м.Позняки ,  м.БориспольскаяВолгодонский переулок,  Мини гостиница. Комнаты на 4, 6, 8 человек, 1530 грн в месяц, 410 грн в неделю.Без комиссии и коммунальных платежей.Всегда тепло,  есть горячая и холодная вода,  кухня,  мебель, Вся бытовая техника: утюг,  чайник,  стиральная машинка,  холодильники,  телевизор,  микроволновая печь.Бесплатный интернет WI-FIХорошая транспортная развязка.Возможно расселение группами,  наличный и безналичный расчет
  ",2,0
267,"Святошинська вул., 23 А",64,Святошинский,0.5,20,1,2,,2,0
268,"Тимiрязєвська вул., 66",70,Печерский,0.5,20,1,2,,3,0
269,"Першого Травня , 95а",253,Деснянский,1,37,5,16,"
Дополнительно : 
Шикарная 1 к.кв. на Маяковского 95а.Площадь: 37/18/8 м2;Этажность: 5/16;Материал: керамзитобетон;Сдам в аренду шикарную 1 к.кв.  В квартире проведен капитальный евроремонт. Есть все для комфортной жизни (техника и мебель). Раздельный санузел. Хорошие и тихие соседи. В парадном работает пассажирский и грузовой лифты.Очень хорошо развита инфраструктура:Рядом с домом детские и спортивные площадки,  паркинг,  школы,  садики,  ""АТБ"",  ""BILLA"",  взрослая поликлиника,  парки и и.д.
  ",3,0
270,"Перемоги пр-т, 71А",470,Шевченковский,1,35,4,16,"
Дополнительно : 
Срочно сдам дизайнерскую 1-комнатную смарт квартиру ЖК Наш Дом пр. Победы 71А 36кв.м. 4/16эт. кровать,  два кресла,  балкон,  шкаф-купе,  духовка,  кондиционер,  бойлер,  ванна,  теплосчетчик,  закрытая территория,  подземный паркинг,  рядом м. Нивки,  парк Нивки,  множество магазинов 470у.е. При подписании комиссия 50%.
Николай 0669761815,  0679669049,  0935828901 Комиссия: 50%
  ",2,1
271,Трускавецька ,1300,Дарницкий,2,70,19,25,"
Дополнительно : 
ПЕРВАЯ СДАЧА 
ЖК RiverStone, Позняки, Дарницкий, Киев
ул. Трускавецкая

Площадь: 70 кв.м.,  на 19 этаже. Дизайнерский качественный ремонт в светлых тонах. Есть все необходимое для комфортного проживания: встроенная кухня с техникой,  холодильник,  посудомоечная машина, стиральная машина,  кондиционер,  два телевизора,  диван,  встроенные шкафы. Пол с подогревом. Смежный санузел с душевой кабиной. Презентабельное парадное с круглосуточной охраной. Развитая инфраструктура,  своя закрытая территория с детской площадкой и зоной отдыха,  магазины,  рестораны,  спортклуб,  ТРЦ ""Ривер-Молл"" и ""Аркадия"",  яхт-клуб. Все новое,  первая сдача. Комиссия: 50%
  ",2,1
